DISTRICT_NAME,DISTRICT_KEY,LOCATION_NAME,LOCATION_KEY_RSP_SCH,STUDENT_NAME,STUDENT_ID,STUDENT_ID_ALT,STUDENT_GENDER,CURR_GRADE_LVL,ITEM_KEY,Assessment Description,CHALLENGE_TYPE,ETHNIC_DESC,LEP_DURATION,LEP_ELIGIBILITY,POVERTY,NUMERIC_SCORE,STANDARD_ACHIEVED,STD_ACHIEVED_CODE,TEST_STATUS,NYSESLAT_ELIGIBLE,NYSAA_ELIGIBLE,FORMER_LEP,FORMER_SWD,REPORT_SCHOOL_YEAR,MODIFIED_DATE
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 1,215999101,7029999102,Male,5,4422,Grade 5 Math,,Multiracial,1,YES,YES,262,Level 1,21,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 2,215999102,7029999103,Male,5,4422,Grade 5 Math,,Black or African American,2,,YES,216,Level 1,21,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 3,215999103,7029999104,Female,5,4422,Grade 5 Math,Other Health Impairment,Asian or Pacific Islander,0,,,337,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 4,215999104,7029999105,Male,5,4422,Grade 5 Math,,Hispanic or Latino,0,,YES,409,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 5,215999105,7029999106,Female,5,4422,Grade 5 Math,,Black or African American,0,,,336,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 6,215999106,7029999107,Female,5,4422,Grade 5 Math,,White,0,,,306,Level 2,22,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 7,215999107,7029999108,Female,5,4422,Grade 5 Math,,White,2,YES,,368,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 8,215999108,7029999109,Male,5,4422,Grade 5 Math,,Asian or Pacific Islander,0,,YES,334,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 9,215999109,7029999110,Male,5,4422,Grade 5 Math,,Black or African American,0,,YES,362,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 10,215999110,7029999111,Female,5,4422,Grade 5 Math,Speech or Language Impairment,Asian or Pacific Islander,4,YES,YES,231,Level 1,21,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 11,215999111,7029999112,Male,5,4422,Grade 5 Math,Emotional Disturbance,Asian or Pacific Islander,0,,YES,415,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 12,215999112,7029999113,Male,5,4422,Grade 5 Math,,Asian or Pacific Islander,1,,YES,372,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 13,215999113,7029999114,Male,5,4422,Grade 5 Math,,White,0,,,330,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 14,215999114,7029999115,Male,5,4422,Grade 5 Math,,Hispanic or Latino,0,,,329,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 15,215999115,7029999116,Male,5,4422,Grade 5 Math,Hearing Impairment,Hispanic or Latino,0,,YES,320,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 16,215999116,7029999117,Female,5,4422,Grade 5 Math,,Asian or Pacific Islander,0,,YES,382,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 17,215999117,7029999118,Male,5,4422,Grade 5 Math,Speech or Language Impairment,White,2,,YES,360,Level 4,24,TEST,,,YES,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 18,215999118,7029999119,Male,5,4422,Grade 5 Math,,Hispanic or Latino,1,,YES,258,Level 1,21,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 19,215999119,7029999120,Female,5,4422,Grade 5 Math,Other Health Impairment,Hispanic or Latino,1,,YES,333,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 20,215999120,7029999121,Male,5,4422,Grade 5 Math,,Black or African American,1,,,317,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 21,215999121,7029999122,Male,5,4422,Grade 5 Math,,Multiracial,0,YES,YES,324,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 22,215999122,7029999123,Male,5,4422,Grade 5 Math,,Multiracial,2,,YES,380,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 23,215999123,7029999124,Female,5,4422,Grade 5 Math,,White,0,,,335,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 24,215999124,7029999125,Male,5,4422,Grade 5 Math,,White,3,,YES,298,Level 2,22,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 25,215999125,7029999126,Male,5,4422,Grade 5 Math,,White,7,,,333,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 26,215999126,7029999127,Male,5,4422,Grade 5 Math,,Black or African American,0,,YES,238,Level 1,21,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 27,215999127,7029999128,Female,5,4422,Grade 5 Math,,White,0,,,368,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 28,215999128,7029999129,Female,5,4422,Grade 5 Math,,White,0,,,328,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 29,215999129,7029999130,Male,5,4422,Grade 5 Math,,Black or African American,0,,YES,217,Level 1,21,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 30,215999130,7029999131,Female,5,4422,Grade 5 Math,,White,2,,YES,409,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 31,215999131,7029999132,Female,5,4422,Grade 5 Math,Other Health Impairment,Asian or Pacific Islander,0,,YES,331,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 32,215999132,7029999133,Female,5,4422,Grade 5 Math,Learning Disability,White,6,,YES,220,Level 1,21,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 33,215999133,7029999134,Female,5,4422,Grade 5 Math,,White,3,YES,,396,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 34,215999134,7029999135,Male,5,4422,Grade 5 Math,Learning Disability,White,4,,YES,351,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 35,215999135,7029999136,Female,5,4422,Grade 5 Math,Deafness,Black or African American,7,,YES,326,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 36,215999136,7029999137,Male,5,4422,Grade 5 Math,Emotional Disturbance,Black or African American,4,,,389,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 37,215999137,7029999138,Female,5,4422,Grade 5 Math,,Hispanic or Latino,1,,YES,325,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 38,215999138,7029999139,Male,5,4422,Grade 5 Math,Speech or Language Impairment,Hispanic or Latino,2,,YES,238,Level 1,21,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 39,215999139,7029999140,Female,5,4422,Grade 5 Math,,Multiracial,2,,YES,311,Level 2,22,TEST,,,,YES,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 40,215999140,7029999141,Female,5,4422,Grade 5 Math,,Multiracial,3,,YES,370,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 41,215999141,7029999142,Female,5,4422,Grade 5 Math,,Multiracial,0,,YES,367,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 42,215999142,7029999143,Male,5,4422,Grade 5 Math,Other Health Impairment,Multiracial,1,,,403,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 43,215999143,7029999144,Female,5,4422,Grade 5 Math,,Multiracial,4,,,206,Level 1,21,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 44,215999144,7029999145,Male,5,4422,Grade 5 Math,,White,1,,YES,324,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 45,215999145,7029999146,Female,5,4422,Grade 5 Math,,White,1,,YES,363,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 46,215999146,7029999147,Female,5,4422,Grade 5 Math,,White,1,,YES,323,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 47,215999147,7029999148,Female,5,4422,Grade 5 Math,,White,0,,YES,364,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 48,215999148,7029999149,Female,5,4422,Grade 5 Math,Learning Disability,Black or African American,3,,YES,364,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
